database_slug,source_person_id,canonical_name,reference_url,match_basis
cm0001_vanilla_original,25698,Ahmet Bulut,https://www.wikidata.org/wiki/Q25476809,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25699,Ahmet Çağıran,https://www.wikidata.org/wiki/Q6083252,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25701,Ahmet Çelikhan,https://www.wikidata.org/wiki/Q130484536,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25706,Ahmet Erdinç,https://www.wikidata.org/wiki/Q401821,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25723,Ahmet Şahin,https://www.wikidata.org/wiki/Q402016,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25727,Ahmet Taşyürek,https://www.wikidata.org/wiki/Q27123036,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25734,Ahmet Yıldırım,https://www.wikidata.org/wiki/Q676847,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25791,Alper Akıcı,https://www.wikidata.org/wiki/Q18410164,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25800,Alper Tezcan,https://www.wikidata.org/wiki/Q2650863,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,28534,Hayrettin Demirbaş,https://www.wikidata.org/wiki/Q6665963,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,28535,Hayrettin Yerlikaya,https://www.wikidata.org/wiki/Q433109,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,31475,Ömer Rıza,https://www.wikidata.org/wiki/Q297499,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,33822,İsmail Aydoğdu,https://www.wikidata.org/wiki/Q134444171,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,33825,İsmail Demirci,https://www.wikidata.org/wiki/Q6091885,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,33826,İsmail Erden,https://www.wikidata.org/wiki/Q19758090,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,33828,İsmail Güldüren,https://www.wikidata.org/wiki/Q344163,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,33838,İsmail Şenyüz,https://www.wikidata.org/wiki/Q2405236,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,33840,İsmail Sivrikaya,https://www.wikidata.org/wiki/Q134463653,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,36604,Ferdi Tatlı,https://www.wikidata.org/wiki/Q47499835,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,37974,Murat Erdoğan,https://www.wikidata.org/wiki/Q1953539,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,37983,Murat Akarsu,https://www.wikidata.org/wiki/Q6064327,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,37988,Murat Alaçayır,https://www.wikidata.org/wiki/Q6092742,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,37996,Murat Baytaroğlu,https://www.wikidata.org/wiki/Q6102533,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,37998,Murat Bölükbaşı,https://www.wikidata.org/wiki/Q6087709,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38014,Murat Duman,https://www.wikidata.org/wiki/Q25473681,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38021,Murat Hacıoğlu,https://www.wikidata.org/wiki/Q358987,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38023,Murat İsmailoğlu,https://www.wikidata.org/wiki/Q130484547,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38025,Murat Karakoç,https://www.wikidata.org/wiki/Q6937410,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38032,Murat Onur,https://www.wikidata.org/wiki/Q2947435,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38037,Murat Öztürk,https://www.wikidata.org/wiki/Q6937441,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38041,Murat Şahin,https://www.wikidata.org/wiki/Q646042,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38044,Murat Şenvardar,https://www.wikidata.org/wiki/Q6034686,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38052,Murat Türksoy,https://www.wikidata.org/wiki/Q6020758,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,38055,Murat Yiğiter,https://www.wikidata.org/wiki/Q15867355,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,40277,Hikmet Çapanoğlu,https://www.wikidata.org/wiki/Q6096831,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,40375,Hüseyin Öztürk,https://www.wikidata.org/wiki/Q134422404,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,40386,Hüseyin Ulusal,https://www.wikidata.org/wiki/Q17045801,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,40389,Hüseyin Yoğurtçu,https://www.wikidata.org/wiki/Q1652495,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,40484,Kaya Tarakçı,https://www.wikidata.org/wiki/Q1418755,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41332,Erol Sabanov,https://www.wikidata.org/wiki/Q883701,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41516,Şenol Erol,https://www.wikidata.org/wiki/Q6102204,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41517,Şenol İbişi,https://www.wikidata.org/wiki/Q99672566,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41520,Şenol Fidan,https://www.wikidata.org/wiki/Q8082477,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41521,Şenol Karagöl,https://www.wikidata.org/wiki/Q6080193,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41526,Şenol Yavaş,https://www.wikidata.org/wiki/Q6103415,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,41527,Serhat Akın,https://www.wikidata.org/wiki/Q659367,unique accent/order-insensitive token match; DOB distance 0 day(s)
